"County.Name","NumPermits","LaborGrowthRate","LaborChange","PopGrowthRate","PopChange","MedRentGrowthRate","MedRentChange","HighRentGrowthRate","HighRentChange","LowRentGrowthRate","LowRentChange","LowHouseGrowthRate","LowHouseChange","MedHouseGrowthRate","MedHouseChange","HighHouseGrowthRate","HighHouseChange","WhiteOwnerGrowthRate","WhiteOwnerChange","BlackOwnerGrowthRate","BlackOwnerChange","LatinoOwnerGrowthRate","LatinoOwnerChange","Income1GrowthRate","Income1Change","Income2GrowthRate","Income2Change","Income3GrowthRate","Income3Change","Income4GrowthRate","Income4Change","Income5GrowthRate","Income5Change","LaborRatio","PopRatio"
"Alameda County",37947,0.0612748279890952,47200,0.0624931059162141,97446,0.376317923763179,464,0.370658682634731,619,0.270240700218818,247,0.619484749777909,209200,0.51050461417632,260000,0.41865599558438,303400,-0.0235729890037468,-3863,-0.0739164566376069,-1789,0.0296980422519633,1074,0.320893470790378,4669,0.36271242919027,15239,0.34426317845644,25555,0.321761505040705,38140,0.295681130253103,73166,1.24384009276096,2.56795003557593
"Alpine County",27,-0.0384615384615385,-20,-0.135607321131448,-163,-0.259475218658892,-178,-0.466923076923077,-607,-0.510909090909091,-281,0.10872424375274,24800,0.164117272147865,51500,0.151114781172585,73200,-0.083969465648855,-22,NA,0,2.66666666666667,8,0.368040602891418,4786,0.0698812602541642,2513,0.0415460801337707,2584,0.285489610836873,24869,0.631629344023696,98946,-0.740740740740741,-6.03703703703704
"Amador County",512,0.0776923076923077,1010,0.0341774536451465,1270,0.0437219730941704,39,0.0216606498194946,24,0.0561959654178674,39,0.332725060827251,54700,0.245830023828435,61900,0.117321381492223,44500,0.0563973908680381,562,0.142857142857143,2,0.444444444444444,300,0.259450310308697,3219,0.207418205377389,6403,0.172359609412997,9214,0.136450358635013,11300,0.148847433116414,25732,1.97265625,2.48046875
"Butte County",4820,0,0,0.0191309606549387,4239,0.140328697850822,111,0.180311890838207,185,0.128455284552846,79,0.336758893280632,42600,0.234438891412994,51600,0.209060299969391,68300,-0.0188955365213274,-878,0.0277777777777778,5,0.0602062844806908,251,0.104127486885084,1052,0.175983273501913,4461,0.21029394944527,9193,0.214880230228818,15232,0.298520725524019,45688,0,0.879460580912863
"Calaveras County",723,0.0920212765957447,1730,0.013200952783776,593,0.194029850746269,169,0.12884455527847,155,0.189069423929099,128,0.454246214614878,69000,0.316982687551525,76900,0.225922842076048,81400,-0.120248642469277,-1683,0.857142857142857,36,-0.0568181818181818,-50,0.357039420756235,4438,0.209472759758941,6917,0.149018328166639,8220,0.122385873545447,10528,0.236426947992756,38905,2.39280774550484,0.820193637621023
"Colusa County",268,0.0893719806763285,740,0.00140029873039582,30,0.0615384615384615,44,-0.013347022587269,-13,0.019047619047619,10,0.669138090824838,72200,0.519770773638969,90700,0.240851630073187,72400,0.0298701298701299,115,0.702702702702703,26,0.241209563994374,343,0.031563160406299,463,0.0921184111916063,2950,0.154846312481587,7884,0.158305267412098,11751,0.20790508337442,32891,2.76119402985075,0.111940298507463
"Contra Costa County",15110,0.0605587028716546,31000,0.0564346967163384,61019,0.301008533747091,388,0.245109321058688,426,0.25437693099897,247,0.67304625199362,168800,0.499281264973646,208400,0.310797597429809,222500,-0.000348816275092268,-62,0.0603957674866016,879,0.105772449259045,3476,0.222024570570904,3994,0.263754283431791,12546,0.244534805640528,19665,0.231627176954602,29220,0.275477891557031,73684,2.05162144275314,4.03831899404368
"Del Norte County",129,0,0,-0.020344901304069,-571,0.0663780663780664,46,0.066079295154185,60,0.172277227722772,87,0.25,22100,0.214880621876735,38700,0.170212765957447,49600,0.0366899302093719,184,0.153846153846154,20,1.48897058823529,405,0.30530592145759,2480,0.233694143769081,5052,0.147811623345994,5954,0.0969918343320302,6426,0.244430907787091,31700,0,-4.42635658914729
"El Dorado County",3484,0.0829268292682927,6800,0.0391149808503017,7098,0.209554831704669,193,0.147865853658537,194,0.0982264665757162,72,0.320211038961039,78900,0.291398150742505,104000,0.323102107632494,157900,0.0629409982251851,2908,0.0559440559440559,16,0.254385964912281,667,0.125186381709742,2015,0.22163269335176,8981,0.218669184948424,15051,0.185491799513024,20188,0.206410342436646,46142,1.95177956371986,2.03731343283582
"Fresno County",16373,0.0865359477124183,33100,0.0376004907023705,35677,0.102257636122178,77,0.111224489795918,109,0.0924657534246575,54,0.40655737704918,49600,0.330203442879499,63300,0.258053342570142,74500,0.0654123516649538,7447,0.0194922937443336,86,0.148426904047833,7770,0.154363725012189,1583,0.182961692395655,4800,0.193848590852089,8811,0.182216334585958,13480,0.18819246100248,29980,2.02162096133879,2.17901423074574
"Glenn County",234,0.0583554376657825,660,-0.00153467290053178,-43,0.113673805601318,69,0.0480295566502463,39,0.172335600907029,76,0.197037037037037,26600,0.0866728797763281,18600,0.0493674791730947,16000,-0.0117903138037366,-65,-0.238095238095238,-5,0.14622641509434,217,0.0194916873686222,204,0.141784037558685,3473,0.188819371477696,7907,0.0900311796293089,6237,-0.0654451406545764,-10476,2.82051282051282,-0.183760683760684
